total_cases,feasible_cases,feasible_ratio,width_analysis,price_count_analysis,with_opt_price_count,with_opt_price_feasible_ratio,without_opt_price_feasible_ratio,num_points
6,0,0.0,"[{'width': 0.0, 'count': 3, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 4.5, 'count': 2, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 9.0, 'count': 1, 'feasible_count': 0, 'feasible_ratio': 0.0}]","[{'num_prices': 1, 'count': 3, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'num_prices': 2, 'count': 2, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'num_prices': 3, 'count': 1, 'feasible_count': 0, 'feasible_ratio': 0.0}]",4,0.0,0.0,3
10,0,0.0,"[{'width': 0.0, 'count': 4, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 3.0, 'count': 3, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 6.0, 'count': 2, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 9.0, 'count': 1, 'feasible_count': 0, 'feasible_ratio': 0.0}]","[{'num_prices': 1, 'count': 4, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'num_prices': 2, 'count': 3, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'num_prices': 3, 'count': 2, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'num_prices': 4, 'count': 1, 'feasible_count': 0, 'feasible_ratio': 0.0}]",6,0.0,0.0,4
15,0,0.0,"[{'width': 0.0, 'count': 5, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 2.25, 'count': 4, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 4.5, 'count': 3, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 6.75, 'count': 2, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 9.0, 'count': 1, 'feasible_count': 0, 'feasible_ratio': 0.0}]","[{'num_prices': 1, 'count': 5, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'num_prices': 2, 'count': 4, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'num_prices': 3, 'count': 3, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'num_prices': 4, 'count': 2, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'num_prices': 5, 'count': 1, 'feasible_count': 0, 'feasible_ratio': 0.0}]",9,0.0,0.0,5
21,0,0.0,"[{'width': 0.0, 'count': 6, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 1.799999999999999, 'count': 1, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 1.7999999999999998, 'count': 2, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 1.8000000000000007, 'count': 2, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 3.5999999999999996, 'count': 3, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 3.6000000000000005, 'count': 1, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 5.3999999999999995, 'count': 1, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 5.4, 'count': 2, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 7.199999999999999, 'count': 1, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 7.2, 'count': 1, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 9.0, 'count': 1, 'feasible_count': 0, 'feasible_ratio': 0.0}]","[{'num_prices': 1, 'count': 6, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'num_prices': 2, 'count': 5, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'num_prices': 3, 'count': 4, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'num_prices': 4, 'count': 3, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'num_prices': 5, 'count': 2, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'num_prices': 6, 'count': 1, 'feasible_count': 0, 'feasible_ratio': 0.0}]",12,0.0,0.0,6
28,0,0.0,"[{'width': 0.0, 'count': 7, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 1.5, 'count': 6, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 3.0, 'count': 5, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 4.5, 'count': 4, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 6.0, 'count': 3, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 7.5, 'count': 2, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 9.0, 'count': 1, 'feasible_count': 0, 'feasible_ratio': 0.0}]","[{'num_prices': 1, 'count': 7, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'num_prices': 2, 'count': 6, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'num_prices': 3, 'count': 5, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'num_prices': 4, 'count': 4, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'num_prices': 5, 'count': 3, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'num_prices': 6, 'count': 2, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'num_prices': 7, 'count': 1, 'feasible_count': 0, 'feasible_ratio': 0.0}]",16,0.0,0.0,7
