total_cases,feasible_cases,feasible_ratio,width_analysis,price_count_analysis,with_opt_price_count,with_opt_price_feasible_ratio,without_opt_price_feasible_ratio,distribution,params,values,masses,optimal_price
15,0,0.0,"[{'width': 0.0, 'count': 5, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 2.25, 'count': 4, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 4.5, 'count': 3, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 6.75, 'count': 2, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 9.0, 'count': 1, 'feasible_count': 0, 'feasible_ratio': 0.0}]","[{'num_prices': 1, 'count': 5, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'num_prices': 2, 'count': 4, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'num_prices': 3, 'count': 3, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'num_prices': 4, 'count': 2, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'num_prices': 5, 'count': 1, 'feasible_count': 0, 'feasible_ratio': 0.0}]",9,0.0,0.0,uniform,"{'min_val': 1, 'max_val': 10, 'num_points': 5}","[1.0, 3.25, 5.5, 7.75, 10.0]","[0.2, 0.2, 0.2, 0.2, 0.2]",5.5
3,0,0.0,"[{'width': 0, 'count': 2, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 9, 'count': 1, 'feasible_count': 0, 'feasible_ratio': 0.0}]","[{'num_prices': 1, 'count': 2, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'num_prices': 2, 'count': 1, 'feasible_count': 0, 'feasible_ratio': 0.0}]",2,0.0,0.0,binomial,"{'low_val': 1, 'high_val': 10, 'p': 0.5}","[1, 10]","[0.5, 0.5]",10.0
10,0,0.0,"[{'width': 0, 'count': 4, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 1, 'count': 1, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 2, 'count': 1, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 3, 'count': 1, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 4, 'count': 1, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 6, 'count': 1, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 7, 'count': 1, 'feasible_count': 0, 'feasible_ratio': 0.0}]","[{'num_prices': 1, 'count': 4, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'num_prices': 2, 'count': 3, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'num_prices': 3, 'count': 2, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'num_prices': 4, 'count': 1, 'feasible_count': 0, 'feasible_ratio': 0.0}]",4,0.0,0.0,geometric,"{'base_val': 1, 'ratio': 2, 'num_points': 4}","[1, 2, 4, 8]","[0.5333333333333333, 0.26666666666666666, 0.13333333333333333, 0.06666666666666667]",1.0
15,0,0.0,"[{'width': 0.0, 'count': 5, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 2.25, 'count': 4, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 4.5, 'count': 3, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 6.75, 'count': 2, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 9.0, 'count': 1, 'feasible_count': 0, 'feasible_ratio': 0.0}]","[{'num_prices': 1, 'count': 5, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'num_prices': 2, 'count': 4, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'num_prices': 3, 'count': 3, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'num_prices': 4, 'count': 2, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'num_prices': 5, 'count': 1, 'feasible_count': 0, 'feasible_ratio': 0.0}]",9,0.0,0.0,normal,"{'mean': 5, 'std': 2, 'num_points': 5}","[1.0, 3.25, 5.5, 7.75, 10.0]","[0.06098919294773501, 0.3073183508291483, 0.43678744622335913, 0.17510471802708094, 0.019800291972676635]",5.5
15,0,0.0,"[{'width': 0.0, 'count': 5, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 2.25, 'count': 4, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 4.5, 'count': 3, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 6.75, 'count': 2, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 9.0, 'count': 1, 'feasible_count': 0, 'feasible_ratio': 0.0}]","[{'num_prices': 1, 'count': 5, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'num_prices': 2, 'count': 4, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'num_prices': 3, 'count': 3, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'num_prices': 4, 'count': 2, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'num_prices': 5, 'count': 1, 'feasible_count': 0, 'feasible_ratio': 0.0}]",5,0.0,0.0,power_law,"{'min_val': 1, 'max_val': 10, 'alpha': 1.5, 'num_points': 5}","[1.0, 3.25, 5.5, 7.75, 10.0]","[0.7540471319627615, 0.12869848986548157, 0.0584594140728561, 0.03494990009770198, 0.023845064001198787]",1.0
21,0,0.0,"[{'width': 0.0, 'count': 6, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 1.799999999999999, 'count': 1, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 1.7999999999999998, 'count': 2, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 1.8000000000000007, 'count': 2, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 3.5999999999999996, 'count': 3, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 3.6000000000000005, 'count': 1, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 5.3999999999999995, 'count': 1, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 5.4, 'count': 2, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 7.199999999999999, 'count': 1, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 7.2, 'count': 1, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'width': 9.0, 'count': 1, 'feasible_count': 0, 'feasible_ratio': 0.0}]","[{'num_prices': 1, 'count': 6, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'num_prices': 2, 'count': 5, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'num_prices': 3, 'count': 4, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'num_prices': 4, 'count': 3, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'num_prices': 5, 'count': 2, 'feasible_count': 0, 'feasible_ratio': 0.0}, {'num_prices': 6, 'count': 1, 'feasible_count': 0, 'feasible_ratio': 0.0}]",10,0.0,0.0,bimodal,"{'low_mean': 3, 'high_mean': 8, 'num_points': 6}","[1.0, 2.8, 4.6, 6.4, 8.2, 10.0]","[0.04844957101835302, 0.35090827164809046, 0.10064215733355646, 0.10064215733355646, 0.3509082716480906, 0.04844957101835302]",8.2
